"collection_date","collection_temp","exp_date","days_in_lab","run","experiment","replicate","species","tube","rank","size","fecundity","time","ramp_rate","ctmax","warming_tol"
2023-10-31,13,2023-10-31,0,52,1,1,"leptodiaptomus_minutus",1,3,0.643,4,46.9833333333333,0.259090909090901,32.5520833333333,19.5520833333333
2023-10-31,13,2023-10-31,0,52,1,1,"epischura_lacustris",2,4,1.142,NA,46.7833333333333,0.259090909090901,32.4739583333333,19.4739583333333
2023-10-31,13,2023-10-31,0,52,1,1,"epischura_lacustris",3,8,1.035,NA,44.3666666666667,0.252972027972022,31.8541666666667,18.8541666666667
2023-10-31,13,2023-10-31,0,52,1,1,"leptodiaptomus_minutus",4,7,0.649,8,44.7,0.252972027972022,31.9322916666667,18.9322916666667
2023-10-31,13,2023-10-31,0,52,1,1,"skistodiaptomus_oregonensis",5,1,0.811,NA,64.4833333333333,0.208811188811185,36.4583333333333,23.4583333333333
2023-10-31,13,2023-10-31,0,52,1,1,"leptodiaptomus_sicilis",6,10,0.961,NA,42.1666666666667,0.249300699300695,31.3020833333333,18.3020833333333
2023-10-31,13,2023-10-31,0,52,1,1,"skistodiaptomus_oregonensis",7,2,0.872,14,61.1333333333333,0.214860139860133,35.7395833333333,22.7395833333333
2023-10-31,13,2023-10-31,0,52,1,1,"leptodiaptomus_minutus",8,9,0.617,6,42.6,0.249300699300695,31.4185606060606,18.4185606060606
2023-10-31,13,2023-10-31,0,52,1,1,"epischura_lacustris",9,6,1.084,NA,45,0.259615384615377,32.0357142857143,19.0357142857143
2023-10-31,13,2023-10-31,0,52,1,1,"leptodiaptomus_sicilis",10,5,0.782,NA,45.25,0.257167832167826,32.1111111111111,19.1111111111111
