"sp_name","parameter","correlation","p.value","ci_low","ci_high","sig","duration"
"Epischura lacustris","max",0.844672565065781,6.77399919443921e-29,0.777997449845958,0.892533171096555,"Sig.",1
"Epischura lacustris","mean",0.851732727000835,7.94573497342617e-30,0.787739500627741,0.897538738046535,"Sig.",1
"Epischura lacustris","mean_max",0.843407551352147,9.83364172490196e-29,0.77625528579665,0.89163504464737,"Sig.",1
"Epischura lacustris","mean_min",0.841751480001083,1.59393352261555e-28,0.773976110375922,0.890458703597202,"Sig.",1
"Epischura lacustris","mean_range",0.103616785494637,0.300027904549231,-0.0927266331380879,0.292203528907557,"Non Sig.",1
"Epischura lacustris","med",0.850348971042946,1.21985678693651e-29,0.785827582596383,0.896558601624507,"Sig.",1
"Epischura lacustris","min",0.834621696556859,1.19889735166659e-27,0.764183729129924,0.885386829057719,"Sig.",1
"Epischura lacustris","range",0.109152594628675,0.274803435273095,-0.0871727566867146,0.297316229224305,"Non Sig.",1
"Epischura lacustris","var",0.128843248633486,0.196841603936367,-0.0673184312077681,0.315414865421972,"Non Sig.",1
"Leptodiaptomus minutus","max",0.738494082770382,4.57752022496835e-57,0.684623069683442,0.784341134411645,"Sig.",1
"Leptodiaptomus minutus","mean",0.732944258139989,8.10373889123852e-56,0.678141627096438,0.779640972070829,"Sig.",1
"Leptodiaptomus minutus","mean_max",0.738007638858486,5.90595900520367e-57,0.684054628325724,0.783929374042955,"Sig.",1
"Leptodiaptomus minutus","mean_min",0.722168161964147,1.75745349355507e-53,0.665580907286395,0.770499615126025,"Sig.",1
"Leptodiaptomus minutus","mean_range",0.195214147803522,0.000408799448277072,0.0881284710382439,0.29783915736785,"Sig.",1
"Leptodiaptomus minutus","med",0.731371532212274,1.80588693514442e-55,0.676306445351819,0.77830806859334,"Sig.",1
"Leptodiaptomus minutus","min",0.715445971688983,4.43665855744114e-52,0.657761660856026,0.764787098420472,"Sig.",1
"Leptodiaptomus minutus","range",0.14868918395001,0.0073406914986845,0.0403832206838137,0.253541722373333,"Sig.",1
"Leptodiaptomus minutus","var",0.13671248674851,0.0137822831651879,0.0281719218162474,0.242066825569971,"Sig.",1
"Leptodiaptomus sicilis","max",0.244138893051955,5.68661590857323e-08,0.158275705784639,0.326337473189679,"Sig.",1
"Leptodiaptomus sicilis","mean",0.238807485902821,1.11903590403264e-07,0.152751098184159,0.321269552068663,"Sig.",1
"Leptodiaptomus sicilis","mean_max",0.243578588581428,6.11048156482173e-08,0.157694843988086,0.325805081924106,"Sig.",1
"Leptodiaptomus sicilis","mean_min",0.23445885538873,1.92112276993813e-07,0.148248860501327,0.317132336738719,"Sig.",1
"Leptodiaptomus sicilis","mean_range",0.0960742689547358,0.0349734505933078,0.0068183679772346,0.183811424993632,"Sig.",1
"Leptodiaptomus sicilis","med",0.235629662193493,1.66268455926044e-07,0.149460672408739,0.318246532650488,"Sig.",1
"Leptodiaptomus sicilis","min",0.234219702680518,1.97847799321507e-07,0.148001363798107,0.316904719477935,"Sig.",1
"Leptodiaptomus sicilis","range",0.0841490373728074,0.0649026314217841,-0.0052044862378782,0.172169467749531,"Non Sig.",1
"Leptodiaptomus sicilis","var",0.126713147471021,0.00533730588580856,0.0378268373653757,0.213610064344546,"Sig.",1
"Limnocalanus macrurus","max",0.49198909842393,1.50234581683832e-06,0.312710866500561,0.63741958081896,"Sig.",1
"Limnocalanus macrurus","mean",0.511116077264135,4.94144914399578e-07,0.335581885609757,0.652346874913338,"Sig.",1
"Limnocalanus macrurus","mean_max",0.496420232469286,1.16811937310305e-06,0.317990942670743,0.640887519765368,"Sig.",1
"Limnocalanus macrurus","mean_min",0.525554924323471,2.03844540667948e-07,0.352985259156758,0.663543294321081,"Sig.",1
"Limnocalanus macrurus","mean_range",0.202560983303177,0.0614247401898494,-0.00973201369744629,0.397381610701022,"Non Sig.",1
"Limnocalanus macrurus","med",0.511621829547221,4.79382655521686e-07,0.336189458583328,0.652740098575181,"Sig.",1
"Limnocalanus macrurus","min",0.524702889157656,2.15025067458053e-07,0.351954961404951,0.662884306215365,"Sig.",1
"Limnocalanus macrurus","range",0.22578294604374,0.0365945463130828,0.0146063611120463,0.417677481503767,"Sig.",1
"Limnocalanus macrurus","var",0.254992765291204,0.0178162981675738,0.0455799783131225,0.442937639391066,"Sig.",1
"Senecella calanoides","max",0.443235817609137,0.00328436995611585,0.160992248206874,0.658463420976866,"Sig.",1
"Senecella calanoides","mean",0.415202392375984,0.00625213779647385,0.127340516986226,0.638552837073592,"Sig.",1
"Senecella calanoides","mean_max",0.431908820022058,0.00428765114507331,0.147315682430083,0.650454593102998,"Sig.",1
"Senecella calanoides","mean_min",0.401762100577636,0.00835714557064166,0.111438253346882,0.628899711336111,"Sig.",1
"Senecella calanoides","mean_range",0.462085708996841,0.00206510692541588,0.183995042126502,0.671684173820865,"Sig.",1
"Senecella calanoides","med",0.413750180754196,0.00645488751547642,0.125615130540551,0.637513201150875,"Sig.",1
"Senecella calanoides","min",0.396557711738575,0.00932242623270728,0.105320208593582,0.625142896652022,"Sig.",1
"Senecella calanoides","range",0.460730998005825,0.00213700370504245,0.182331646948878,0.670738451559031,"Sig.",1
"Senecella calanoides","var",0.395120880710626,0.00960520140404211,0.103635009510972,0.624103843757291,"Sig.",1
"Skistodiaptomus sp","max",0.79175700385147,2.19478939506681e-60,0.743062444535954,0.832111891108318,"Sig.",1
"Skistodiaptomus sp","mean",0.787313205846259,2.80751862874525e-59,0.737731630458377,0.828446793828667,"Sig.",1
"Skistodiaptomus sp","mean_max",0.789336250622673,8.8656439651624e-60,0.740157723987295,0.830115771060797,"Sig.",1
"Skistodiaptomus sp","mean_min",0.772766805369909,7.82880988866211e-56,0.720324797187579,0.816424712967426,"Sig.",1
"Skistodiaptomus sp","mean_range",0.146101799361041,0.015316247332813,0.0283070330582435,0.259894389105647,"Sig.",1
"Skistodiaptomus sp","med",0.787622279215147,2.35610871507431e-59,0.738102197275371,0.828701821343377,"Sig.",1
