"","genus","measure","arr","mean_lim","mean_temp_range"
"acc_temp...1","Acartia","upper",0.477392270645965,30.1116099889858,17.2972498717949
"acc_temp...2","Tigriopus","upper",0.286679186768648,36.1539457580612,NA
"acc_temp...3","Tigriopus","lower",1.23389165507246,-1.95737711111111,NA
"acc_temp...5","Asellopsis","upper",0.014000000000001,32.885,11.7968675
"acc_temp...8","Calanus","upper",0.5586688848317,24.8764918625678,12.4172795
"acc_temp...10","Cyclops","upper",0.181957021342831,32.9242857142857,34.4333332606724
"acc_temp...12","Drepanopus","upper",-0.757575757575758,12.0333333333333,2.6
"acc_temp...13","Euchaeta","upper",0.6625,29.9,17.089793
"acc_temp...14","Eucyclops","upper",-0.23931623931624,38.6,35.0666656494141
"acc_temp...15","Labidocera","upper",0.38948425239179,33.326724464337,17.2104775
"acc_temp...16","Macrocyclops","upper",0.259999999999999,36.0466666666667,30.7309522628784
"acc_temp...17","Megacyclops","upper",0.266168723521827,34.582,34.6192857469831
